Year,"CO2 emissions from fuel combustion, Indonesia",Units
2000,255.014,Mt CO2
2001,274.281,Mt CO2
2002,279.919,Mt CO2
2003,308.633,Mt CO2
2004,315.788,Mt CO2
2005,317.557,Mt CO2
2006,338.973,Mt CO2
2007,355.155,Mt CO2
2008,350.568,Mt CO2
2009,365.808,Mt CO2
2010,391.65,Mt CO2
2011,450.274,Mt CO2
2012,451.385,Mt CO2
2013,422.691,Mt CO2
2014,452.858,Mt CO2
2015,458.669,Mt CO2
2016,450.269,Mt CO2
2017,475.213,Mt CO2
2018,533.033,Mt CO2
2019,571.193,Mt CO2
2020,532.713,Mt CO2
2021,556.572,Mt CO2